prompt_id,n,attribute,intended_subject,predicted_owner,human_label,count_broken,scored,correct
0,2,red apron,barista,barista,barista,False,True,True
0,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
1,2,white hat,chef,chef,chef,False,True,True
1,2,shovel,farmer,farmer,farmer,False,True,True
2,2,blue gloves,nurse,nurse,none,False,False,False
2,2,dark sunglasses,pilot,pilot,pilot,False,True,True
3,2,book,teacher,teacher,teacher,False,True,True
3,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
4,2,blue gloves,nurse,nurse,shared,False,False,False
4,2,shovel,farmer,farmer,farmer,False,True,True
5,2,dark sunglasses,pilot,pilot,pilot,False,True,True
5,2,red apron,barista,barista,barista,False,True,True
6,3,red apron,barista,barista,barista,False,True,True
6,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
6,3,white hat,chef,chef,chef,False,True,True
7,3,pan,chef,chef,chef,False,True,True
7,3,shovel,farmer,farmer,farmer,False,True,True
7,3,blue gloves,nurse,nurse,shared,False,False,False
8,3,dark sunglasses,pilot,pilot,pilot,False,True,True
8,3,book,teacher,teacher,teacher,False,True,True
8,3,red apron,barista,barista,barista,False,True,True
10,3,book,teacher,teacher,teacher,False,True,True
10,3,dark sunglasses,pilot,pilot,pilot,False,True,True
10,3,white hat,chef,chef,chef,False,True,True
11,3,red apron,barista,barista,barista,False,True,True
11,3,blue gloves,nurse,nurse,shared,False,False,False
11,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
12,4,red apron,barista,barista,barista,False,True,True
12,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
12,4,white hat,chef,chef,chef,False,True,True
12,4,shovel,farmer,farmer,farmer,False,True,True
13,4,blue gloves,nurse,nurse,shared,False,False,False
13,4,dark sunglasses,pilot,pilot,pilot,False,True,True
13,4,book,teacher,teacher,teacher,False,True,True
13,4,pan,chef,chef,chef,False,True,True
14,4,shovel,farmer,farmer,farmer,False,True,True
14,4,red apron,barista,barista,barista,False,True,True
14,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
14,4,blue gloves,nurse,nurse,nurse,False,True,True
15,4,white hat,chef,chef,chef,False,True,True
15,4,book,teacher,chef,chef,False,True,True
15,4,dark sunglasses,pilot,teacher,cyclist,False,True,False
15,4,yellow helmet,cyclist,pilot,cyclist,False,True,False
17,4,yellow helmet,cyclist,teacher,cyclist,False,True,False
17,4,pan,chef,chef,chef,False,True,True
17,4,book,teacher,cyclist,nurse,False,True,False
17,4,blue gloves,nurse,nurse,nurse,False,True,True
18,2,white hat,chef,chef,chef,False,True,True
18,2,blue gloves,nurse,nurse,shared,False,False,False
19,2,shovel,farmer,farmer,farmer,False,True,True
19,2,book,teacher,teacher,teacher,False,True,True
20,3,red apron,barista,barista,barista,False,True,True
20,3,pan,chef,chef,chef,False,True,True
20,3,blue gloves,nurse,nurse,nurse,False,True,True
21,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
21,3,dark sunglasses,pilot,pilot,pilot,False,True,True
21,3,book,teacher,teacher,teacher,False,True,True
22,4,white hat,chef,chef,chef,False,True,True
22,4,shovel,farmer,nurse,nurse,False,True,True
22,4,blue gloves,nurse,nurse,nurse,False,True,True
22,4,book,teacher,teacher,teacher,False,True,True
23,4,red apron,barista,barista,barista,False,True,True
23,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
23,4,pan,chef,pilot,pilot,False,True,True
23,4,dark sunglasses,pilot,pilot,shared,False,False,False
100,2,red apron,barista,barista,barista,False,True,True
100,2,white hat,chef,chef,chef,False,True,True
101,2,red apron,barista,chef,barista,False,True,False
101,2,pan,chef,barista,chef,False,True,False
104,2,red apron,barista,barista,barista,False,True,True
104,2,blue gloves,nurse,nurse,nurse,False,True,True
105,2,red apron,barista,barista,barista,False,True,True
105,2,dark sunglasses,pilot,pilot,pilot,False,True,True
106,2,red apron,barista,barista,barista,False,True,True
106,2,book,teacher,teacher,teacher,False,True,True
107,2,white hat,chef,chef,chef,False,True,True
107,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
108,2,pan,chef,chef,chef,False,True,True
108,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
110,2,pan,chef,chef,chef,False,True,True
110,2,shovel,farmer,farmer,farmer,False,True,True
111,2,white hat,chef,chef,chef,False,True,True
111,2,blue gloves,nurse,nurse,shared,False,False,False
112,2,pan,chef,chef,chef,False,True,True
112,2,blue gloves,nurse,nurse,nurse,False,True,True
113,2,white hat,chef,chef,chef,False,True,True
113,2,dark sunglasses,pilot,pilot,pilot,False,True,True
114,2,pan,chef,chef,chef,False,True,True
114,2,dark sunglasses,pilot,pilot,pilot,False,True,True
115,2,white hat,chef,chef,chef,False,True,True
115,2,book,teacher,teacher,shared,False,False,False
116,2,pan,chef,chef,chef,False,True,True
116,2,book,teacher,teacher,teacher,False,True,True
118,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
118,2,blue gloves,nurse,nurse,nurse,False,True,True
119,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
119,2,dark sunglasses,pilot,pilot,shared,False,False,False
120,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
120,2,book,teacher,teacher,teacher,False,True,True
121,2,shovel,farmer,farmer,farmer,False,True,True
121,2,blue gloves,nurse,nurse,shared,False,False,False
122,2,shovel,farmer,farmer,farmer,False,True,True
122,2,dark sunglasses,pilot,pilot,pilot,False,True,True
123,2,shovel,farmer,farmer,farmer,False,True,True
123,2,book,teacher,teacher,teacher,False,True,True
124,2,blue gloves,nurse,nurse,none,False,False,False
124,2,dark sunglasses,pilot,pilot,pilot,False,True,True
125,2,blue gloves,nurse,nurse,nurse,False,True,True
125,2,book,teacher,teacher,teacher,False,True,True
126,2,dark sunglasses,pilot,pilot,pilot,False,True,True
126,2,book,teacher,teacher,teacher,False,True,True
127,2,red apron,barista,barista,barista,False,True,True
127,2,white hat,chef,chef,chef,False,True,True
128,2,red apron,barista,barista,barista,False,True,True
128,2,pan,chef,chef,chef,False,True,True
129,2,red apron,barista,barista,barista,False,True,True
129,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
130,2,red apron,barista,barista,barista,False,True,True
130,2,shovel,farmer,farmer,farmer,False,True,True
131,2,red apron,barista,barista,barista,False,True,True
131,2,blue gloves,nurse,nurse,nurse,False,True,True
132,2,red apron,barista,barista,barista,False,True,True
132,2,dark sunglasses,pilot,pilot,pilot,False,True,True
133,2,red apron,barista,barista,barista,False,True,True
133,2,book,teacher,teacher,teacher,False,True,True
135,2,pan,chef,chef,chef,False,True,True
135,2,yellow helmet,cyclist,cyclist,cyclist,False,True,True
137,2,pan,chef,chef,chef,False,True,True
137,2,shovel,farmer,farmer,farmer,False,True,True
139,2,pan,chef,chef,chef,False,True,True
139,2,blue gloves,nurse,nurse,nurse,False,True,True
140,2,white hat,chef,chef,chef,False,True,True
140,2,dark sunglasses,pilot,pilot,pilot,False,True,True
141,2,pan,chef,chef,chef,False,True,True
141,2,dark sunglasses,pilot,pilot,pilot,False,True,True
142,3,red apron,barista,barista,barista,False,True,True
142,3,white hat,chef,chef,chef,False,True,True
142,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
143,3,red apron,barista,barista,barista,False,True,True
143,3,pan,chef,chef,chef,False,True,True
143,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
144,3,red apron,barista,farmer,shared,False,False,False
144,3,white hat,chef,chef,chef,False,True,True
144,3,shovel,farmer,barista,farmer,False,True,False
145,3,red apron,barista,barista,shared,False,False,False
145,3,pan,chef,chef,chef,False,True,True
145,3,shovel,farmer,farmer,farmer,False,True,True
146,3,red apron,barista,barista,barista,False,True,True
146,3,white hat,chef,chef,chef,False,True,True
146,3,blue gloves,nurse,nurse,nurse,False,True,True
148,3,red apron,barista,barista,barista,False,True,True
148,3,white hat,chef,chef,chef,False,True,True
148,3,dark sunglasses,pilot,pilot,pilot,False,True,True
149,3,red apron,barista,pilot,barista,False,True,False
149,3,pan,chef,chef,chef,False,True,True
149,3,dark sunglasses,pilot,barista,pilot,False,True,False
150,3,red apron,barista,barista,barista,False,True,True
150,3,white hat,chef,chef,chef,False,True,True
150,3,book,teacher,teacher,teacher,False,True,True
154,3,red apron,barista,barista,barista,False,True,True
154,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
154,3,dark sunglasses,pilot,pilot,pilot,False,True,True
155,3,red apron,barista,barista,barista,False,True,True
155,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
155,3,book,teacher,teacher,teacher,False,True,True
157,3,red apron,barista,barista,barista,False,True,True
157,3,shovel,farmer,farmer,farmer,False,True,True
157,3,dark sunglasses,pilot,pilot,pilot,False,True,True
158,3,red apron,barista,barista,shared,False,False,False
158,3,shovel,farmer,farmer,farmer,False,True,True
158,3,book,teacher,teacher,teacher,False,True,True
161,3,red apron,barista,barista,barista,False,True,True
161,3,dark sunglasses,pilot,pilot,pilot,False,True,True
161,3,book,teacher,teacher,teacher,False,True,True
162,3,white hat,chef,chef,chef,False,True,True
162,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
162,3,shovel,farmer,farmer,farmer,False,True,True
163,3,pan,chef,chef,chef,False,True,True
163,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
163,3,shovel,farmer,farmer,farmer,False,True,True
164,3,white hat,chef,chef,chef,False,True,True
164,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
164,3,blue gloves,nurse,nurse,shared,False,False,False
165,3,pan,chef,chef,chef,False,True,True
165,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
165,3,blue gloves,nurse,nurse,shared,False,False,False
166,3,white hat,chef,chef,chef,False,True,True
166,3,yellow helmet,cyclist,cyclist,cyclist,False,True,True
166,3,dark sunglasses,pilot,pilot,pilot,False,True,True
167,4,red apron,barista,chef,barista,False,True,False
167,4,white hat,chef,barista,chef,False,True,False
167,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
167,4,shovel,farmer,farmer,farmer,False,True,True
171,4,red apron,barista,pilot,barista,False,True,False
171,4,white hat,chef,chef,chef,False,True,True
171,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
171,4,dark sunglasses,pilot,barista,pilot,False,True,False
174,4,red apron,barista,cyclist,barista,False,True,False
174,4,pan,chef,chef,chef,False,True,True
174,4,yellow helmet,cyclist,barista,cyclist,False,True,False
174,4,book,teacher,teacher,teacher,False,True,True
183,4,red apron,barista,chef,barista,False,True,False
183,4,white hat,chef,chef,chef,False,True,True
183,4,blue gloves,nurse,nurse,teacher,False,True,False
183,4,book,teacher,teacher,teacher,False,True,True
202,4,red apron,barista,farmer,barista,False,True,False
202,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
202,4,shovel,farmer,barista,shared,False,False,False
202,4,blue gloves,nurse,nurse,shared,False,False,False
203,4,red apron,barista,barista,barista,False,True,True
203,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
203,4,shovel,farmer,pilot,pilot,False,True,True
203,4,dark sunglasses,pilot,farmer,pilot,False,True,False
204,4,red apron,barista,barista,barista,False,True,True
204,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
204,4,shovel,farmer,farmer,farmer,False,True,True
204,4,book,teacher,teacher,teacher,False,True,True
205,4,red apron,barista,barista,barista,False,True,True
205,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
205,4,blue gloves,nurse,nurse,nurse,False,True,True
205,4,dark sunglasses,pilot,pilot,pilot,False,True,True
206,4,red apron,barista,barista,barista,False,True,True
206,4,yellow helmet,cyclist,teacher,cyclist,False,True,False
206,4,blue gloves,nurse,nurse,shared,False,False,False
206,4,book,teacher,cyclist,teacher,False,True,False
207,4,red apron,barista,barista,barista,False,True,True
207,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
207,4,dark sunglasses,pilot,pilot,pilot,False,True,True
207,4,book,teacher,teacher,teacher,False,True,True
208,4,red apron,barista,barista,barista,False,True,True
208,4,shovel,farmer,farmer,farmer,False,True,True
208,4,blue gloves,nurse,nurse,farmer,False,True,False
208,4,dark sunglasses,pilot,pilot,pilot,False,True,True
209,4,red apron,barista,nurse,barista,False,True,False
209,4,shovel,farmer,farmer,farmer,False,True,True
209,4,blue gloves,nurse,teacher,shared,False,False,False
209,4,book,teacher,barista,teacher,False,True,False
210,4,red apron,barista,barista,barista,False,True,True
210,4,shovel,farmer,farmer,farmer,False,True,True
210,4,dark sunglasses,pilot,pilot,pilot,False,True,True
210,4,book,teacher,teacher,teacher,False,True,True
211,4,red apron,barista,teacher,barista,False,True,False
211,4,blue gloves,nurse,nurse,shared,False,False,False
211,4,dark sunglasses,pilot,pilot,pilot,False,True,True
211,4,book,teacher,barista,teacher,False,True,False
212,4,white hat,chef,chef,chef,False,True,True
212,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
212,4,shovel,farmer,farmer,shared,False,False,False
212,4,blue gloves,nurse,nurse,shared,False,False,False
213,4,pan,chef,chef,chef,False,True,True
213,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
213,4,shovel,farmer,farmer,shared,False,False,False
213,4,blue gloves,nurse,nurse,shared,False,False,False
214,4,white hat,chef,chef,chef,False,True,True
214,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
214,4,shovel,farmer,pilot,farmer,False,True,False
214,4,dark sunglasses,pilot,farmer,pilot,False,True,False
215,4,pan,chef,chef,chef,False,True,True
215,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
215,4,shovel,farmer,pilot,pilot,False,True,True
215,4,dark sunglasses,pilot,pilot,pilot,False,True,True
217,4,pan,chef,chef,cyclist,False,True,False
217,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
217,4,shovel,farmer,teacher,farmer,False,True,False
217,4,book,teacher,farmer,teacher,False,True,False
218,4,white hat,chef,chef,chef,False,True,True
218,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
218,4,blue gloves,nurse,nurse,shared,False,False,False
218,4,dark sunglasses,pilot,pilot,pilot,False,True,True
219,4,pan,chef,chef,chef,False,True,True
219,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
219,4,blue gloves,nurse,nurse,shared,False,False,False
219,4,dark sunglasses,pilot,pilot,pilot,False,True,True
220,4,white hat,chef,chef,chef,False,True,True
