prompt_id,n,attribute,intended_subject,predicted_owner,human_label,count_broken,scored,correct
301,4,blue helmet,nurse,nurse,nurse,False,True,True
301,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
301,4,red apron,chef,chef,chef,False,True,True
301,4,dark sunglasses,teacher,teacher,teacher,False,True,True
302,4,yellow helmet,pilot,pilot,pilot,False,True,True
302,4,blue helmet,teacher,teacher,teacher,False,True,True
302,4,red apron,barista,barista,barista,False,True,True
302,4,book,farmer,farmer,shared,False,False,False
303,4,red helmet,chef,chef,none,False,False,False
303,4,yellow helmet,farmer,nurse,farmer,False,True,False
303,4,white hat,nurse,barista,nurse,False,True,False
303,4,dark sunglasses,barista,farmer,barista,False,True,False
304,4,red apron,chef,chef,chef,False,True,True
304,4,blue apron,barista,pilot,shared,False,False,False
304,4,shovel,farmer,farmer,farmer,False,True,True
304,4,dark sunglasses,pilot,barista,pilot,False,True,False
305,4,red apron,teacher,teacher,teacher,False,True,True
305,4,blue apron,pilot,pilot,pilot,False,True,True
305,4,yellow gloves,nurse,nurse,nurse,False,True,True
305,4,black hat,chef,chef,chef,False,True,True
306,4,red apron,nurse,nurse,nurse,False,True,True
306,4,blue apron,farmer,farmer,none,False,False,False
306,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
306,4,white hat,chef,chef,chef,False,True,True
307,4,white apron,barista,chef,barista,False,True,False
307,4,blue apron,waiter,waiter,waiter,False,True,True
307,4,black hat,chef,pilot,pilot,False,True,True
307,4,dark sunglasses,pilot,pilot,pilot,False,True,True
308,4,white hat,chef,baker,chef,False,True,False
308,4,black hat,baker,chef,baker,False,True,False
308,4,blue gloves,nurse,nurse,shared,False,False,False
308,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
309,4,white hat,teacher,barista,teacher,False,True,False
309,4,black hat,chef,chef,chef,False,True,True
309,4,red apron,barista,teacher,barista,False,True,False
309,4,shovel,farmer,farmer,farmer,False,True,True
310,4,white hat,pilot,farmer,pilot,False,True,False
310,4,black hat,farmer,pilot,farmer,False,True,False
310,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
310,4,blue gloves,nurse,nurse,nurse,False,True,True
311,4,blue gloves,nurse,nurse,nurse,False,True,True
311,4,red gloves,farmer,farmer,farmer,False,True,True
311,4,white hat,chef,chef,chef,False,True,True
311,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
312,4,blue gloves,pilot,barista,shared,False,False,False
312,4,red gloves,barista,teacher,shared,False,False,False
312,4,black hat,teacher,pilot,shared,False,False,False
312,4,pan,chef,chef,chef,False,True,True
313,4,yellow helmet,nurse,barista,nurse,False,True,False
313,4,shovel,chef,chef,farmer,False,True,False
313,4,dark sunglasses,barista,nurse,barista,False,True,False
313,4,pan,farmer,farmer,farmer,False,True,True
314,4,red apron,teacher,farmer,teacher,False,True,False
314,4,blue gloves,pilot,pilot,shared,False,False,False
314,4,book,cyclist,teacher,shared,False,False,False
314,4,white hat,farmer,teacher,shared,False,False,False
315,4,white hat,barista,nurse,barista,False,True,False
315,4,shovel,nurse,chef,nurse,False,True,False
315,4,yellow helmet,chef,teacher,chef,False,True,False
315,4,dark sunglasses,teacher,barista,teacher,False,True,False
316,4,red apron,pilot,barista,pilot,False,True,False
316,4,dark sunglasses,farmer,cyclist,shared,False,False,False
316,4,book,barista,pilot,barista,False,True,False
316,4,blue gloves,cyclist,farmer,cyclist,False,True,False
317,4,white hat,farmer,farmer,farmer,False,True,True
317,4,pan,cyclist,cyclist,cyclist,False,True,True
317,4,yellow helmet,teacher,barista,shared,False,False,False
317,4,blue gloves,barista,barista,barista,False,True,True
318,4,dark sunglasses,chef,chef,chef,False,True,True
318,4,red apron,nurse,nurse,nurse,False,True,True
318,4,shovel,pilot,barista,pilot,False,True,False
318,4,black hat,barista,pilot,shared,False,False,False
319,4,yellow helmet,barista,farmer,barista,False,True,False
319,4,blue gloves,teacher,teacher,shared,False,False,False
319,4,white hat,pilot,barista,pilot,False,True,False
319,4,pan,farmer,pilot,farmer,False,True,False
320,4,white hat,chef,barista,chef,False,True,False
320,4,black hat,baker,chef,baker,False,True,False
320,4,red apron,barista,baker,barista,False,True,False
320,4,blue gloves,nurse,nurse,shared,False,False,False
321,4,blue gloves,nurse,nurse,nurse,False,True,True
321,4,red gloves,doctor,doctor,doctor,False,True,True
321,4,white apron,barista,cyclist,barista,False,True,False
321,4,yellow helmet,cyclist,barista,cyclist,False,True,False
322,4,red apron,barista,barista,barista,False,True,True
322,4,blue apron,waiter,chef,waiter,False,True,False
322,4,white hat,chef,waiter,chef,False,True,False
322,4,yellow helmet,cyclist,cyclist,cyclist,False,True,True
323,4,black hat,barista,waiter,barista,False,True,False
323,4,white hat,waiter,nurse,waiter,False,True,False
323,4,shovel,farmer,nurse,shared,False,False,False
323,4,blue gloves,nurse,farmer,nurse,False,True,False
324,4,book,teacher,teacher,teacher,False,True,True
324,4,dark sunglasses,professor,professor,professor,False,True,True
324,4,red apron,barista,barista,barista,False,True,True
324,4,blue gloves,nurse,nurse,shared,False,False,False
325,5,red helmet,farmer,barista,farmer,False,True,False
325,5,yellow helmet,cyclist,chef,cyclist,False,True,False
325,5,blue apron,barista,nurse,barista,False,True,False
325,5,white hat,chef,cyclist,chef,False,True,False
325,5,shovel,nurse,farmer,unclear,False,False,False
326,5,blue helmet,nurse,nurse,nurse,False,True,True
326,5,yellow helmet,cyclist,farmer,cyclist,False,True,False
326,5,red apron,chef,cyclist,teacher,False,True,False
326,5,dark sunglasses,teacher,teacher,farmer,False,True,False
326,5,book,farmer,teacher,farmer,False,True,False
327,5,yellow helmet,pilot,teacher,pilot,False,True,False
327,5,blue helmet,teacher,pilot,teacher,False,True,False
327,5,red apron,barista,barista,barista,False,True,True
327,5,black hat,nurse,nurse,none,False,False,False
327,5,pan,farmer,farmer,farmer,False,True,True
328,5,red apron,chef,chef,chef,False,True,True
328,5,blue apron,barista,barista,barista,False,True,True
328,5,yellow helmet,cyclist,barista,barista,False,True,True
328,5,dark sunglasses,nurse,teacher,cyclist,False,True,False
328,5,book,teacher,teacher,shared,False,False,False
329,5,red apron,teacher,farmer,teacher,False,True,False
329,5,blue apron,pilot,chef,shared,False,False,False
329,5,yellow gloves,nurse,nurse,shared,False,False,False
329,5,black hat,chef,pilot,unclear,False,False,False
329,5,shovel,farmer,pilot,farmer,False,True,False
330,5,red apron,nurse,nurse,nurse,False,True,True
330,5,blue apron,farmer,farmer,farmer,False,True,True
