prompt_id,n,attribute,intended_subject,predicted_owner,human_label,count_broken,scored,correct
0,2,red apron,barista,cyclist,shared,True,False,False
0,2,yellow helmet,cyclist,cyclist,unclear,True,False,False
1,2,white hat,chef,farmer,shared,False,False,False
1,2,shovel,farmer,chef,shared,False,False,False
2,2,blue gloves,nurse,nurse,unclear,False,False,False
2,2,dark sunglasses,pilot,pilot,nurse,False,True,False
3,2,book,teacher,cyclist,teacher,False,True,False
3,2,yellow helmet,cyclist,cyclist,teacher,False,True,False
4,2,blue gloves,nurse,farmer,shared,False,False,False
4,2,shovel,farmer,nurse,shared,False,False,False
5,2,dark sunglasses,pilot,barista,shared,False,False,False
5,2,red apron,barista,pilot,none,False,False,False
6,3,red apron,barista,chef,shared,True,False,False
6,3,yellow helmet,cyclist,barista,unclear,True,False,False
6,3,white hat,chef,barista,shared,True,False,False
7,3,pan,chef,chef,unclear,False,False,False
7,3,shovel,farmer,farmer,farmer,False,True,True
7,3,blue gloves,nurse,chef,nurse,False,True,False
8,3,dark sunglasses,pilot,pilot,shared,False,False,False
8,3,book,teacher,teacher,shared,False,False,False
8,3,red apron,barista,barista,none,False,False,False
9,3,blue gloves,nurse,cyclist,shared,True,False,False
9,3,yellow helmet,cyclist,cyclist,nurse,True,False,False
9,3,shovel,farmer,nurse,nurse,True,False,False
10,3,book,teacher,teacher,shared,True,False,False
10,3,dark sunglasses,pilot,pilot,shared,True,False,False
10,3,white hat,chef,teacher,shared,True,False,False
11,3,red apron,barista,barista,cyclist,False,True,False
11,3,blue gloves,nurse,nurse,none,False,False,False
11,3,yellow helmet,cyclist,cyclist,none,False,False,False
12,4,red apron,barista,farmer,shared,False,False,False
12,4,yellow helmet,cyclist,barista,unclear,False,False,False
12,4,white hat,chef,chef,shared,False,False,False
12,4,shovel,farmer,chef,none,False,False,False
13,4,blue gloves,nurse,nurse,shared,True,False,False
13,4,dark sunglasses,pilot,nurse,shared,True,False,False
13,4,book,teacher,pilot,chef,True,False,False
13,4,pan,chef,chef,none,True,False,False
14,4,shovel,farmer,farmer,shared,True,False,False
14,4,red apron,barista,cyclist,nurse,True,False,False
14,4,yellow helmet,cyclist,cyclist,unclear,True,False,False
14,4,blue gloves,nurse,barista,shared,True,False,False
15,4,white hat,chef,chef,absent,True,False,False
15,4,book,teacher,cyclist,teacher,True,False,False
15,4,dark sunglasses,pilot,chef,shared,True,False,False
15,4,yellow helmet,cyclist,teacher,none,True,False,False
17,4,yellow helmet,cyclist,nurse,none,False,False,False
17,4,pan,chef,teacher,none,False,False,False
17,4,book,teacher,cyclist,shared,False,False,False
17,4,blue gloves,nurse,nurse,none,False,False,False
18,2,white hat,chef,chef,shared,False,False,False
18,2,blue gloves,nurse,nurse,shared,False,False,False
19,2,shovel,farmer,farmer,farmer,False,True,True
19,2,book,teacher,teacher,shared,False,False,False
20,3,red apron,barista,barista,shared,True,False,False
20,3,pan,chef,nurse,none,True,False,False
20,3,blue gloves,nurse,chef,none,True,False,False
21,3,yellow helmet,cyclist,cyclist,shared,False,False,False
21,3,dark sunglasses,pilot,teacher,shared,False,False,False
21,3,book,teacher,pilot,shared,False,False,False
22,4,white hat,chef,teacher,shared,False,False,False
22,4,shovel,farmer,teacher,none,False,False,False
