prompt_id,n,attribute,intended_subject,predicted_owner,human_label,scored,correct,margin,predicted_label,scored_shared,correct_shared
0,2,red apron,barista,cyclist,unclear,False,False,0.005463167583334994,shared,False,False
0,2,yellow helmet,cyclist,cyclist,cyclist,True,True,0.004424196331939041,shared,True,False
1,2,white hat,chef,farmer,unclear,False,False,0.012100115109219156,shared,False,False
1,2,shovel,farmer,chef,unclear,False,False,0.0203677966177359,chef,False,False
2,2,blue gloves,nurse,nurse,nurse,True,True,0.001715168071705536,shared,True,False
2,2,dark sunglasses,pilot,pilot,pilot,True,True,0.0033845064814405166,shared,True,False
3,2,book,teacher,cyclist,teacher,True,False,0.0021239467577360677,shared,True,False
3,2,yellow helmet,cyclist,cyclist,teacher,True,False,0.013702891126672825,shared,True,False
4,2,blue gloves,nurse,farmer,unclear,False,False,0.029700889861437048,farmer,False,False
4,2,shovel,farmer,nurse,unclear,False,False,0.0020148877856011474,shared,False,False
5,2,dark sunglasses,pilot,barista,pilot,True,False,0.015101126057690291,shared,True,False
5,2,red apron,barista,pilot,barista,True,False,0.046103469195374405,pilot,True,False
6,3,red apron,barista,chef,unclear,False,False,0.009511939593143037,shared,False,False
6,3,yellow helmet,cyclist,barista,cyclist,True,False,0.003561908528401536,shared,True,False
6,3,white hat,chef,barista,chef,True,False,0.019708563146683716,shared,True,False
7,3,pan,chef,chef,chef,True,True,0.001368439448504859,shared,True,False
7,3,shovel,farmer,farmer,farmer,True,True,0.0069528910192722644,shared,True,False
7,3,blue gloves,nurse,chef,nurse,True,False,0.02325073675359362,chef,True,False
8,3,dark sunglasses,pilot,pilot,unclear,False,False,0.02105129088470897,pilot,False,False
8,3,book,teacher,teacher,teacher,True,True,0.012656350959203392,shared,True,False
8,3,red apron,barista,barista,barista,True,True,0.068870546110764,barista,True,True
9,3,blue gloves,nurse,cyclist,cyclist,True,True,0.0014060743185218632,shared,True,False
9,3,yellow helmet,cyclist,cyclist,farmer,True,False,0.0038397528826689983,shared,True,False
9,3,shovel,farmer,nurse,farmer,True,False,0.009578415892037862,shared,True,False
